status;finalidade;tipo;dormitorios;quartos;cidade;cep;endereco;numero;complemento;bairro;estado;metragem;areaterreno;area_total;area_util;garagem;idade;condominio;valorvenda;iptu;promocao;dataregistro;condominiofechado;zoneamento;ImovelEntregue;datacadastro;dataupdate;Andar;valor_total
Disponível;Residencial;Casa;2;2;Campo Largo;83602490;Rua Amazilio Lavall;640;;Jardim Florestal;PR;70.0;172.8;70.0;81.0;1;9;Residencial Morada Verde X;235000;330.0;N;2023-09-27T00:10:26.800;S;z;0;2023-05-16T16:59:07.267;;0;235425.0
Disponível;Residencial;Casa;2;2;Campo Largo;83606520;Rua José Lunardon;420;;Vila Ferrari Ii;PR;47.22;213.08;47.22;47.22;2;2;0;280000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-09-13T15:08:11.557;;0;280000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83602665;Rua Casemiro De Abreu;30;Casa 14;São Marcos;PR;73.79;147.72;73.79;73.79;1;0;Condomínio Veredas;340000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-06-07T14:44:53.433;;0;340000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83604120;Rua Joaquim Celestino Ferreira;1056;casa;São Marcos;PR;71.2;190.49;71.2;54.8;1;10;Residencial Pirâmide Miquerinos;230000;0.0;N;2023-09-27T00:10:26.800;S;zr;0;2023-09-14T17:45:12.763;;0;230000.0
Disponível;Residencial;Casa;3;2;Campo Largo;83602120;Rua Paulo Bianco;80;;Botiatuva;PR;78.0;225.0;78.0;78.0;0;2;Jardim Paulistano;420000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-01-19T17:12:21.317;;0;420000.0
Disponível;Residencial;Casa;4;1;Campo Largo;83607050;Via Veneza;471;;Jardim Padre José De Anchieta;PR;282.0;418.85;282.0;282.0;5;0;Di Piero;2800000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-09-22T13:27:25.557;;0;2800000.0
Disponível;Residencial;Casa;3;3;Campo Largo;83606245;Rua Maurílio Mocelin Ferreira;69;Casa 3;Loteamento São Gerônimo;PR;78.8;169.5;78.8;78.8;3;1;Residencial Florença 3;250000;392.76;N;2023-09-27T00:10:26.800;S;Z;0;2023-07-26T14:33:31.563;;0;250392.76
Disponível;Residencial;Apartamento;2;2;Campo Largo;83604360;Estrada Dos Expedicionários;4799;;Itaqui;PR;40.31;57.33;40.31;57.33;1;0;;150000;0.0;N;2023-09-27T00:10:26.800;S;z;0;2023-09-20T16:47:05.613;;0;150000.0
Vendido;Residencial;Apartamento;2;2;Campo Largo;83606260;Rua Caetano Munhoz Da Rocha;1080;Bloco 03 Apt 307;Loteamento Ouro Verde I;PR;40.0;40.0;40.0;40.0;0;0;Oregon;199000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-08-28T13:08:18.423;;0;199000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83604581;Rua Maria Joaquina Vaz;721;Térreo - Bloco 16 APT 107;Jardim Itaqui;PR;48.0;60.0;48.0;60.0;0;0;Residencial Califórnia;155000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-06-30T14:34:44.593;;0;155000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83602340;Avenida Cristina;233;Bergamo Residence;Vila Bancária;PR;57.34;57.34;57.34;57.34;0;1;Bergamo Residence;235000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-05-03T16:08:01.093;;0;235000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83603123;Rua Reinaldo Gadens;210;Bloco 07 Apto 731;Jardim Iruama;PR;53.83;73.25;53.83;41.83;1;0;Condomínio Edifício Residencial Dallas;117000;355.0;N;2023-09-27T00:10:26.800;S;ZR4;0;2023-09-25T15:41:30.667;;0;117737.7
Disponível;Residencial;Apartamento;2;2;Campo Largo;83605090;Rua Ângelo Zanetti;795;Bloco 15 Ap 204;Loteamento Itaboa;PR;47.09;92.32;47.09;47.09;1;1;Residencial Firenze;200000;0.0;N;2023-09-27T00:10:26.800;S;Z;0;2023-09-13T13:38:14.670;;0;200000.0
Disponível;Residencial;Apartamento;2;2;Campo Largo;83604581;Rua Maria Joaquina Vaz;721;Bloco 2 AP 227;Jardim Itaqui;PR;52.0;12000.0;52.0;45.92;1;8;Residencial Califórnia;130000;0.0;N;2023-09-27T00:10:26.800;S;ZR;0;2023-08-29T10:54:32.690;;0;130300.0
